NUM,L1_DCM,L2_TCM,L3_TCM
203,1560829.6,950649.9,2373.2
204,1615734.0,988072.4,8871.8
205,8681129.3,974113.9,3858.3
206,1676166.4,1039688.3,9234.1
207,1915292.7,1076471.3,7700.2
208,3496612.3,1088672.1,8716.4
209,1896218.6,1092742.2,8997.9
210,1678072.8,1126842.8,9927.6
211,1901216.5,1142038.7,6214.9
212,1857146.0,1174883.5,6390.7
213,1805366.1,1214462.7,11130.6
214,1782753.0,1187241.6,12476.2
215,1824466.2,1208503.4,11348.1
216,1803692.2,1224748.2,12111.8
217,1918012.9,1245015.8,11429.3
218,1868714.6,1262105.2,13455.8
219,2081847.4,1300093.1,12350.7
220,2167617.8,1295871.9,8028.1
221,1997188.1,1347672.5,11474.1
222,2072126.2,1303600.3,11897.2
223,2059976.5,1364192.6,6075.9
224,12516247.3,916661.2,669.6
225,2109578.9,1393555.7,4761.3
226,2131775.5,1380779.7,10967.7
227,2147885.1,1454917.9,8912.2
228,2343690.1,1423092.1,10208.7
229,2175979.4,1464844.2,11108.0
230,2159959.9,1460523.2,16224.6
231,2273132.0,1496342.4,12470.2
232,2204969.2,1502886.6,10598.5
233,2748961.9,1534057.8,8817.9
234,2242317.8,1563533.9,16959.2
235,2382342.5,1590520.8,14950.0
236,2425072.1,1634111.5,18057.9
237,2505397.5,1632541.5,12874.2
238,2429579.1,1656194.2,16354.6
239,10952292.5,1652585.5,6766.1
240,8052839.8,1637501.9,6464.3
241,10521215.5,1728504.9,5681.8
242,2476268.2,1730513.5,19790.2
243,2705133.2,1781556.0,14888.7
244,2910107.0,1785254.0,13998.3
245,3121953.6,1805041.9,11625.7
246,2640089.8,1860590.4,20394.1
247,2738482.6,1866014.2,11562.1
248,2611259.0,1895257.0,270.8
249,2831397.9,1904731.3,181.0
250,2565417.9,1966335.1,526.2
251,3034078.2,1980169.0,1546.2
252,2559747.9,2010237.8,287.4
253,2859091.7,2019796.1,276.0
254,2551688.2,2032854.8,1767.1
255,2522284.0,2065423.4,380.2
256,16935729.2,16814521.9,2285.3
257,2931439.9,2122675.8,938.9
258,2731702.3,2148263.8,476.5
259,2907002.9,2147276.3,434.5
260,2736825.7,2202857.8,1562.1
261,2975681.1,2225105.8,359.9
262,3238748.8,2253615.7,523.2
263,3375795.3,2258257.4,1345.6
264,3148582.8,2294670.9,354.9
265,3340164.1,2307209.1,1064.4
266,3229141.5,2342809.5,3777.6
267,3519182.7,2384652.9,405.7
268,3322470.3,2414507.4,426.3
269,3255668.7,2442066.5,983.2
270,3442861.9,2473295.1,418.3
271,5654611.2,2503235.1,237.4
272,18664534.5,2499911.6,805.5
273,5844886.9,2560820.2,5096.8
274,3407666.0,2599182.2,15906.0
275,3472801.4,2632241.3,8571.6
276,3897153.4,2666628.6,339.4
277,3552043.5,2694705.1,1515.8
278,3853777.8,2720168.5,516.6
279,3895882.1,2755725.9,11971.7
280,3515540.2,2806004.6,12979.8
281,3673775.5,2822674.5,335.5
282,3606782.3,2842002.5,1191.8
283,3924325.8,2869934.9,1015.4
284,3648299.3,2920255.5,735.7
285,3687076.6,2942794.9,1413.4
286,3732381.3,2979629.1,598.5
287,3712430.7,3009459.9,2707.8
288,25212430.2,2861505.9,380.1
289,3760882.8,3048545.1,11790.7
290,3798684.6,3098335.5,1749.1
291,3942423.7,3120301.5,446.5
292,3687241.2,3166359.2,4447.2
293,4302975.2,3175606.2,16900.1
294,4017847.4,3200254.4,16746.1
295,3886742.1,3229364.6,17736.1
296,3809991.2,3291008.4,18800.8
297,4033679.4,3288085.8,26795.8
298,3877377.1,3341686.3,48431.5
299,4565627.6,3322016.1,9823.5
300,4085324.2,3407939.2,31760.3
301,4355361.4,3433991.5,33681.3
302,4525295.5,3471555.8,17259.0
303,4030715.8,3504307.6,43148.8
304,29981897.0,3281421.7,13937.8
305,4158808.8,3573093.3,29256.9
306,4736030.8,3612311.5,39557.4
307,7270749.8,3624483.9,31494.4
308,4904631.0,3675253.6,3758.1
309,4387924.0,3710328.4,1114.8
310,5041446.2,3749533.4,6193.8
311,5244878.7,3782999.8,711.6
312,4386803.5,3787057.6,3292.1
313,6693566.2,3861359.5,786.4
314,4893916.4,3885209.5,3063.5
315,7487711.9,3907983.6,816.0
316,5092420.2,3967715.1,1996.1
317,22227936.2,4011371.4,740.4
318,5166398.7,4047354.7,7644.5
319,4998037.5,4082531.2,15366.1
320,33508888.2,12038762.8,1251.9
321,5021732.9,4150303.2,1891.7
322,5420982.7,4203149.1,33531.6
323,5358819.7,4242572.1,3262.7
324,5375361.0,4276640.4,2436.2
325,5413600.2,4316799.3,2606.4
326,11895737.2,4364493.7,2563.5
327,5573533.0,4396554.3,7089.4
328,5377235.4,4436574.4,2782.0
329,7916966.7,4475747.6,3864.8
330,6354512.0,4520237.7,2049.0
331,7124919.6,4564816.5,20296.1
332,5877425.2,4602949.8,23263.2
333,6348844.6,4643096.2,8553.4
334,8938546.9,4699945.6,5475.0
335,6302198.1,4731343.1,4875.4
336,40417821.5,4513344.2,743.4
337,6859384.6,4806380.3,6804.4
338,6673956.3,4846107.6,10834.6
339,7500246.1,4889979.0,1290.1
340,6029706.2,4943907.0,2260.2
341,10412777.2,4963181.1,13175.3
342,18952152.2,5052901.6,24798.4
343,7744286.4,5088470.6,15349.9
344,6056011.5,5116442.2,3096.8
345,6981976.5,5172248.4,1647.4
346,8000697.7,5212956.7,5053.6
347,8926107.7,5266016.8,3089.5
348,6617865.4,5299045.8,3275.6
349,9539126.6,5343253.5,1513.9
350,7157030.5,5399852.3,5153.6
351,7622637.9,5416636.1,4657.5
352,45255782.2,5846623.0,7463.4
353,8162655.6,5519496.7,1944.7
354,7735349.3,5586907.3,6424.7
355,9618771.2,5630489.7,3572.4
356,7294294.7,5676298.4,11659.8
357,8917777.3,5724747.2,3534.1
358,7209200.6,5775036.4,13160.1
359,11341976.5,5828404.8,6227.1
360,7382526.8,5863309.0,3736.7
361,10096098.3,5902317.7,4538.9
362,8832519.7,5976952.2,2785.7
363,7526243.3,6014777.5,22132.4
364,7828874.2,6067145.3,60921.0
365,11390260.5,6114236.0,22785.3
366,26885834.9,6180721.5,4123.3
367,8073477.2,6221768.7,7719.8
368,53130201.5,6215244.9,2072.5
369,8802005.4,6327507.1,8135.7
370,10063646.3,6371725.7,7615.3
371,8399045.3,6415794.5,14734.3
372,8127406.2,6474605.4,4486.5
373,10913167.1,6534656.6,21183.8
374,9108211.0,6588839.6,19826.8
375,9683996.2,6633618.2,8457.9
376,8370493.2,6679783.9,12961.9
377,9983295.8,6736854.1,12057.4
378,11066053.0,6803066.5,6186.1
379,11738137.7,6809225.2,6815.0
380,9546390.5,6899552.7,7841.9
381,9760869.4,6933827.1,3975.1
382,8923109.0,7008251.3,10191.5
383,8947755.8,7073558.5,6841.5
384,57299695.4,53129845.9,11248.9
385,10433248.5,7181467.3,8043.2
386,9170213.7,7231168.1,11853.6
387,12974269.0,7302375.1,7163.5
388,10065009.7,7342573.5,14005.9
389,12768695.5,7385801.9,20631.6
390,18778444.6,7456473.7,46796.3
391,13554212.8,7539731.9,44520.6
392,9468447.7,7573950.4,15480.8
393,11920504.7,7654881.2,10013.9
394,35434914.3,7707372.3,8525.2
395,37000747.8,7768098.4,12810.8
396,11352616.1,7812453.1,6480.3
397,12470825.6,7865656.0,20121.3
398,27228707.7,7919493.6,12433.5
399,16892941.4,7951849.6,45788.9
400,68419540.4,7945717.7,5297.1
401,15082416.6,8123577.0,19478.5
402,14422090.3,8160093.1,15841.4
403,16693982.2,8216044.7,9104.0
404,11980509.7,8293852.7,14865.2
405,11807041.0,8382533.0,44975.2
406,20212425.8,8423335.2,54022.8
407,37302852.6,8495158.5,31195.8
408,12144294.9,8546963.1,61644.9
409,29070048.3,8586546.0,15191.6
410,50649598.5,8699089.8,31877.4
411,22117149.5,8746477.8,38437.8
412,13424890.9,8805840.5,10701.9
413,22637089.1,8856295.8,26552.7
414,20153399.4,8903067.2,50624.8
415,23202911.2,8979283.3,11095.2
416,74732148.7,9719885.8,6925.3
417,24175813.5,9106235.7,24157.9
418,20829820.3,9201740.0,13387.1
419,68211295.8,9285957.3,10159.9
420,14555954.1,9304793.5,14070.5
421,35383972.6,9372063.2,22542.1
422,19348198.9,9469925.2,12219.5
423,60340107.0,9532356.9,9262.2
424,12641695.4,9592928.4,46417.7
425,26959928.5,9646016.9,13919.5
426,30491194.5,9736587.0,40878.9
427,60178880.0,9810687.2,28321.8
428,13443812.1,9857225.2,11357.1
429,47730873.1,9929210.6,15220.4
430,29489734.3,9980690.1,24311.2
431,31310567.1,10041903.9,20102.2
432,85990234.3,10101296.0,48225.2
433,35168346.9,10182653.7,26533.4
434,25071349.8,10286781.6,42248.9
435,32203065.0,10341830.6,44103.7
436,26859348.9,10414521.4,24647.0
437,36869953.8,10470394.8,28396.3
438,23652377.4,10548293.3,50214.8
439,84561259.5,10712475.0,17564.2
440,14122333.0,10707986.5,62437.0
441,32437096.4,10772087.5,39539.2
442,35927753.1,10851004.8,38823.6
443,32992556.6,10922343.2,26397.7
444,43909135.6,11000132.8,12144.6
445,32572206.9,11132809.3,36211.1
446,52690689.8,11161570.1,74565.7
447,26076710.2,11265102.0,98784.8
448,91728951.2,43840518.1,35025.6
449,26288289.3,11401510.2,28359.4
450,53324305.6,11464587.0,30003.8
451,39250249.7,11528213.8,30182.2
452,50398777.5,11611760.4,47045.0
453,61446241.0,11714964.2,45714.7
454,30168245.4,11725713.3,170827.6
455,32138395.3,11813303.3,49378.2
456,30285234.9,11926392.4,30688.2
457,49232028.3,12000474.6,47429.5
458,46571630.3,12060951.7,47599.9
459,24921108.1,12125144.6,35459.0
460,37018988.0,12226848.8,44165.7
461,82070159.5,12314957.8,36902.7
462,35573952.5,12373961.2,28644.3
463,56252166.0,12455702.7,37901.9
464,106589938.2,12511953.2,36487.1
465,59070348.4,12619287.4,50078.8
466,58657079.7,12722005.9,46850.2
467,61444304.1,12797974.0,46293.8
468,47901623.8,12864548.6,60006.4
469,65546710.8,12945596.2,36478.6
470,46940709.0,13048943.3,43469.4
471,27099669.0,13093983.7,86113.6
472,51476584.1,13186932.8,56826.7
473,74981937.0,13299312.1,70703.8
474,49381894.0,13361275.3,28434.3
475,68311527.2,13460388.3,67228.9
476,57682350.9,13545334.2,66405.4
477,68081620.2,13637096.0,197282.4
478,90937992.6,13736036.1,52013.8
479,81144323.5,13818084.9,59841.1
480,114654051.5,16338281.9,57526.1
481,81699215.1,13988103.9,64873.5
482,92640854.9,14076417.4,40451.3
483,58711827.8,14133355.0,98338.2
484,72589618.2,14225463.7,30321.9
485,31282191.6,14297453.4,97697.0
486,80003270.3,14417962.9,59458.3
487,49685290.5,14481582.5,72889.6
488,81083653.2,14560285.9,45990.1
489,89647401.7,14700790.9,118188.5
490,87802263.0,14777772.1,68444.5
491,84010654.9,14858860.5,91098.4
492,91570208.8,14949120.8,49923.6
493,42586323.0,15020390.8,87791.0
494,89577117.9,15140228.8,107583.0
495,102439012.2,15256142.3,83796.2
496,130228499.1,15307349.6,54532.4
