NUM,L1_DCM,L2_TCM,L3_TCM
208,1127061.3,57074.8,433.7
209,1143475.1,60488.2,44.0
210,1159935.9,61018.0,53.7
211,1176838.7,61316.5,164.5
212,1193325.4,62781.9,46.9
213,1210517.9,61802.4,48.7
214,1227655.0,62344.6,206.3
215,1245096.7,64484.9,296.6
216,1262393.7,65506.9,622.2
217,1280110.1,63433.7,690.2
218,1298186.2,67108.5,630.2
219,1315827.7,68648.1,436.2
220,1334255.5,68472.4,659.1
221,1352323.4,72191.3,669.1
222,1370761.9,72949.5,688.5
223,1389003.7,73026.4,659.1
224,1407406.0,72822.6,350.6
225,1427613.8,74346.1,907.3
226,1446270.5,76906.7,744.2
227,1465575.0,75119.3,723.8
228,1484924.9,76486.6,656.7
229,1504744.9,77978.0,724.1
230,1524425.4,78703.7,729.3
231,1544701.1,81694.2,835.0
232,1564279.0,80852.1,89.0
233,1584813.2,81475.0,184.8
234,1605496.5,81702.0,139.8
235,1625968.2,83110.0,53.1
236,1646721.1,83514.9,275.6
237,1667757.5,83139.7,50.7
238,1688902.5,86399.1,46.7
239,1710187.9,87095.1,52.8
240,1731591.1,87388.5,176.6
241,1753521.2,90316.7,51.8
242,1775307.2,91020.1,57.7
243,1797484.7,91553.7,62.1
244,1819664.9,92954.8,153.9
245,1842246.4,92307.0,192.3
246,1864817.8,94754.6,57.7
247,1887525.9,96321.0,55.0
248,1910575.9,95887.3,53.6
249,1934173.4,96443.2,185.4
250,1957520.7,97887.7,56.9
251,1981288.2,99381.6,70.4
252,2005298.9,99284.1,60.0
253,2029302.9,101290.9,197.2
254,2053722.8,102679.7,62.0
255,2078076.4,103246.3,61.5
256,2096957.9,105817.8,97.8
257,2129126.5,102584.9,169.7
258,2152506.5,105665.3,64.6
259,2177743.2,107157.7,65.5
260,2203207.6,107097.7,56.9
261,2228862.8,108653.0,187.2
262,2254585.9,108967.9,60.5
263,2280594.9,110710.6,67.2
264,2306504.7,111900.0,58.2
265,2332944.3,112526.8,295.5
266,2359132.2,114101.6,153.6
